condition,k,silhouette_score,calinski_harabasz_score,davies_bouldin_score,inertia
Title only,2,0.07902462780475616,12.63985103073003,3.5738724240159603,97.7639389038086
Title only,3,0.0568496435880661,10.72260086546087,3.180783611298921,93.27693176269531
Title only,4,0.03716608136892319,9.32377855153473,3.3920738386165494,90.1590576171875
Title only,5,0.03038713149726391,8.242607486799924,3.4049080689314053,87.8658218383789
Title only,6,0.0526924692094326,7.625021430296392,3.085116436564054,85.59684753417969
Title only,7,0.045675769448280334,6.874270783639441,3.1370304282864927,84.22803497314453
Title only,8,0.0516655407845974,6.437828229230295,2.955121771170422,82.6136245727539
Abstract only,2,0.061625465750694275,11.408502533873826,3.74494649346996,80.7723388671875
Abstract only,3,0.05578862503170967,9.672836173750497,3.3589023856518954,77.39399719238281
Abstract only,4,0.043707288801670074,8.632725917256607,3.3810348179751455,74.77421569824219
Abstract only,5,0.05577085167169571,7.861640018885407,3.2282780591805307,72.65851593017578
Abstract only,6,0.04178348928689957,7.371439147872534,3.1473110616536495,70.68351745605469
Abstract only,7,0.03764103353023529,6.669294293954439,3.0519260082671944,69.5361328125
Abstract only,8,0.03667699545621872,6.065886496471341,2.9817654433912932,68.64522552490234
Title + Abstract,2,0.06542618572711945,12.040136988586218,3.643433887238989,78.02689361572266
Title + Abstract,3,0.04152434319257736,10.056151896400692,3.4531952732552296,74.72008514404297
Title + Abstract,4,0.06151772662997246,9.291094406588515,3.2421490319691366,71.76022338867188
Title + Abstract,5,0.05168788880109787,8.006735662602201,3.2172399735657775,70.22694396972656
Title + Abstract,6,0.039623986929655075,7.376749872362459,3.137585221180436,68.50602722167969
Title + Abstract,7,0.05048385635018349,6.820101894888982,2.8746801030594265,67.11075592041016
Title + Abstract,8,0.04647058621048927,6.102069600466844,2.978589519036847,66.45874786376953
