source,paper_id,title,abstract,authors,year,venue,doi,url,citation_count,publication_date,relevance_status,rejection_reason
semantic_scholar,2d036e8c50b4b3ef27189632d6e9eb4508301a29,Computational and Structural Biotechnology Journal,,Dost Muhammad; M. Bendechache,,,,https://www.semanticscholar.org/paper/2d036e8c50b4b3ef27189632d6e9eb4508301a29,211,,rejected,no XAI or interpretability signal; no healthcare or medical-application signal
semantic_scholar,1398e3988f6e846f0226ea0d27d5de69c548f605,Attention guided grad-CAM : an improved explainable artificial intelligence model for infrared breast cancer detection,,Kaushik Raghavan; S. B.; K. V.,2023,Multimedia tools and applications,10.1007/s11042-023-17776-7,https://www.semanticscholar.org/paper/1398e3988f6e846f0226ea0d27d5de69c548f605,81,2023-12-15,rejected,no healthcare or medical-application signal
arxiv,2410.09635,Use of What-if Scenarios to Help Explain Artificial Intelligence Models for Neonatal Health,"Early detection of intrapartum risks enables timely interventions to prevent or mitigate adverse labor outcomes such as cerebral palsy. However, accurate automated systems to support clinical decision-making during delivery are currently lacking. To address this gap, we propose Artificial Intelligence for Modeling and Explaining Neonatal Health (AIMEN), a deep learning framework that predicts adverse labor outcomes from maternal, fetal, obstetrical, and intrapartum factors while providing interpretable reasoning behind its predictions. AIMEN reveals how specific modifications to input variables could alter predicted outcomes, enhancing clinical insight. To address class imbalance and limited sample size, AIMEN employs Conditional Tabular GAN (CTGAN) for data augmentation. This process includes synthetic data generation, and we investigate in detail properties such as relaxing feature bounds for a subset of training points to explore slightly out-of-range physiological values, and applying silhouette-score-based filtering to increase the separability of synthetic samples. AIMEN uses an ensemble of fully connected neural networks for classification and outperforms state-of-the-art models such as XGBoost, TabNet, DANet, and LightGBM, achieving an average F1 score of 0.784 in predicting high-risk deliveries. Moreover, AIMEN generates counterfactual explanations that identify actionable changes involving only two to three attributes on average. Resources: https://github.com/ab9mamun/AIMEN.",Abdullah Mamun; Lawrence D. Devoe; Mark I. Evans; David W. Britt; Judith Klein-Seetharaman; Hassan Ghasemzadeh,2024,arXiv,,http://arxiv.org/abs/2410.09635v2,,2024-10-12T20:21:00Z,rejected,no XAI or interpretability signal
arxiv,2603.14096,Concisely Explaining the Doubt: Minimum-Size Abductive Explanations for Linear Models with a Reject Option,"Trustworthiness in artificial intelligence depends not only on what a model decides, but also on how it handles and explains cases in which a reliable decision cannot be made. In critical domains such as healthcare and finance, a reject option allows the model to abstain when evidence is insufficient, making it essential to explain why an instance is rejected in order to support informed human intervention. In these settings, explanations must not only be interpretable, but also faithful to the underlying model and computationally efficient enough to support real-time decision making. Abductive explanations guarantee fidelity, but their exact computation is known to be NP-hard for many classes of models, limiting their practical applicability. Computing \textbf{minimum-size} abductive explanations is an even more challenging problem, as it requires reasoning not only about fidelity but also about optimality. Prior work has addressed this challenge in restricted settings, including log-linear-time algorithms for computing minimum-size abductive explanations in linear models without rejection, as well as a polynomial-time method based on linear programming for computing abductive explanations, without guarantees of minimum size, for linear models with a reject option. In this work, we bridge these lines of research by computing minimum-size abductive explanations for linear models with a reject option. For accepted instances, we adapt the log-linear algorithm to efficiently compute optimal explanations. For rejected instances, we formulate a 0-1 integer linear programming problem that characterizes minimum-size abductive explanations of rejection. Although this formulation is NP-hard in theory, our experimental results show that it is consistently more efficient in practice than the linear-programming-based approach that does not guarantee minimum-size explanations.",Gleilson Pedro Fernandes; Thiago Alves Rocha,2026,arXiv,,http://arxiv.org/abs/2603.14096v1,,2026-03-14T19:45:37Z,rejected,no XAI or interpretability signal
