seed,k,silhouette_score,calinski_harabasz_score,davies_bouldin_score,inertia,is_best_k_for_seed
42,2,0.06542618572711945,12.040136988586218,3.643433887238989,78.02689361572266,True
42,3,0.04152434319257736,10.056151896400692,3.4531952732552296,74.72008514404297,False
42,4,0.06151772662997246,9.291094406588515,3.2421490319691366,71.76022338867188,False
42,5,0.05168788880109787,8.006735662602201,3.2172399735657775,70.22694396972656,False
42,6,0.039623986929655075,7.376749872362459,3.137585221180436,68.50602722167969,False
42,7,0.05048385635018349,6.820101894888982,2.8746801030594265,67.11075592041016,False
42,8,0.04647058621048927,6.102069600466844,2.978589519036847,66.45874786376953,False
0,2,0.06313277035951614,12.091396751798689,3.626307921354279,78.00527954101562,True
0,3,0.03234194219112396,10.039597954562032,3.3794939041560013,74.73297882080078,False
0,4,0.061899393796920776,9.155998069592476,3.285813507826809,71.90677642822266,False
0,5,0.048696257174015045,8.043093419273191,3.282959452653271,70.17642974853516,False
0,6,0.055561959743499756,7.208417882445515,3.0653185144851456,68.7872314453125,False
0,7,0.04629003256559372,6.986575793196982,2.952809993881456,66.79142761230469,False
0,8,0.042255859822034836,6.36493012697509,2.870087984725882,65.8807144165039,False
1,2,0.06327539682388306,12.06620973891194,3.6311085673623897,78.01589965820312,True
1,3,0.04753071442246437,10.067116483968707,3.6128689931496734,74.71156311035156,False
1,4,0.05960710346698761,9.154569118351612,3.334234295857975,71.90831756591797,False
1,5,0.04858556017279625,8.273474542969968,3.200540983505049,69.85800170898438,False
1,6,0.04413622245192528,7.7840759879407235,3.0634637394822413,67.83499145507812,False
1,7,0.04248106852173805,7.12852462374778,2.961763666921965,66.52153015136719,False
1,8,0.05402356758713722,6.218361480932135,2.553375606734717,66.20177459716797,False
2,2,0.06504098325967789,12.04807154703913,3.6285955287312435,78.02354431152344,False
2,3,0.04274946451187134,10.057871281603898,3.583495871336322,74.71875762939453,False
2,4,0.06692346185445786,9.225244499427456,3.1536854511906602,71.83158111572266,True
2,5,0.05208199471235275,8.341651123727308,3.1871942464955483,69.76433563232422,False
2,6,0.035564493387937546,7.53096504918741,3.289929131218265,68.25041961669922,False
2,7,0.04446287453174591,7.137067005947621,2.918609123783003,66.50536346435547,False
2,8,0.04145916551351547,6.529064006545674,2.9544443435787793,65.52485656738281,False
10,2,0.06504098325967789,12.04807154703913,3.6285955287312435,78.02354431152344,True
10,3,0.0365261472761631,10.023281625633635,3.4579739682153474,74.74567413330078,False
10,4,0.0647849291563034,9.191551789778789,3.253146786221018,71.8681411743164,False
10,5,0.0484817735850811,8.317471725497848,3.196819668091579,69.79751586914062,False
10,6,0.0429975800216198,7.720131318803353,2.9674606935516223,67.93946075439453,False
10,7,0.04253687337040901,7.0017227370295325,2.94233843117028,66.76252746582031,False
10,8,0.0499320887029171,6.3358639120811215,2.9381468532363844,65.94414520263672,False
20,2,0.06296970695257187,12.052274237343289,3.683034082018897,78.02177429199219,True
20,3,0.05839812755584717,9.950998742469428,3.6879639295483564,74.8019790649414,False
20,4,0.0586104691028595,9.077102805685795,3.3223937012116522,71.99263000488281,False
20,5,0.03991549462080002,8.37273961043249,3.1255266980226515,69.72169494628906,False
20,6,0.04653375223278999,7.563773741489808,3.1199821345054097,68.1962890625,False
20,7,0.0541248582303524,6.769609767647014,3.0188308593224527,67.20821380615234,False
20,8,0.045853450894355774,6.413089624314794,3.052682811168059,65.77590942382812,False
50,2,0.06348907202482224,12.098752811416176,3.6485301422507197,78.00218200683594,True
50,3,0.04140021651983261,10.030307398141023,3.4937348210083754,74.74020385742188,False
50,4,0.05616609752178192,9.148555012611684,3.3278114415410984,71.91485595703125,False
50,5,0.05067812278866768,8.26704237018707,3.154024329487815,69.86685943603516,False
50,6,0.050102584064006805,7.553824818851591,3.0625275093232287,68.21269226074219,False
50,7,0.04759832099080086,6.73920622666287,2.98137082854855,67.26702880859375,False
50,8,0.04289291799068451,6.496764009407691,2.977654789125741,65.5945816040039,False
100,2,0.06464891880750656,12.035503117989338,3.6526731196067317,78.02883911132812,True
100,3,0.04084913805127144,10.026422060844292,3.3799791928581016,74.74322509765625,False
100,4,0.04520104080438614,8.862865835040504,3.3693025003488914,72.22679901123047,False
100,5,0.04700181260704994,8.48360331450438,3.1024165869885265,69.57008361816406,False
100,6,0.05012530833482742,7.419026765346084,2.9751064859353424,68.4357681274414,False
100,7,0.04408857226371765,6.753802337281095,3.0427587252190174,67.23878479003906,False
100,8,0.05222714692354202,6.077563382680117,2.619210603707244,66.51315307617188,False
